annee;date;site;pontes;pontes_correction;traces;mission;modalite;nb_ilots;comptage;date_debut;date_fin;nb_jours
2022;15/12/2022-29/12/2022;totea;5;6;11;7;ponctuel;1;1;15/12/2022;29/12/2022;14
2022;16/12/2022-30/12/2022;ugo;0;0;0;7;ponctuel;1;1;16/12/2022;30/12/2022;14
2022;15/12/2022-29/12/2022;uie;0;0;0;7;ponctuel;1;1;15/12/2022;29/12/2022;14
2022;15/12/2022-29/12/2022;uo;0;0;0;7;ponctuel;1;1;15/12/2022;29/12/2022;14
2022;09/12/2022-04/01/2023;gi;4;6;8;8;rapproche;1;0;09/12/2022;04/01/2023;26
2022;09/12/2022-03/01/2023;ua;2;3;5;8;rapproche;1;0;09/12/2022;03/01/2023;25
2022;16/12/2022-03/01/2023;uaterembi;5;7;11;8;rapproche;1;1;16/12/2022;03/01/2023;18
2022;09/12/2022-04/01/2023;uatio;6;9;10;8;rapproche;1;0;09/12/2022;04/01/2023;26
2022;20/12/2022-12/01/2023;atire;9;13;15;9;rapproche;1;0;20/12/2022;12/01/2023;23
2022;05/01/2023-11/01/2023;gi;4;4;6;9;rapproche;1;1;05/01/2023;11/01/2023;6
